parametros	ph	conductividad	turbidez	coliformes
fuente 1	6.77	107	0	0
fuente 2	6.04	288	1	1
fuente 3	7.17	300	0	0
fuente 4	7.66	217	1	0
fuente 5	6.21	187	0	1
fuente 6	6.87	119	0	0
fuente 7	7.39	167	0	0
fuente 8	7.55	150	1	0
fuente 9	7.17	172	0	1
fuente 10	6.62	178	0	2
fuente 11	7.89	219	0	0
fuente 12	6.31	257	10	0
fuente 13	7.7	150	0	0
fuente 14	7.11	155	5	1
fuente 15	6.17	293	0	1
fuente 16	6.84	252	0	0
fuente 17	7.33	117	2	1
fuente 18	7.32	250	5	0
fuente 19	6.88	189	0	0
fuente 20	7.02	220	1	0
fuente 21	6.45	256	0	0
fuente 22	7.29	247	4	1
fuente 23	6.45	217	0	0
fuente 24	7.23	138	1	0
fuente 25	7.89	143	0	1
