parametros	ph	conductividad 	turbidez	coliformes
fuente_1	7.51	180	1	1
fuente_2	7.63	209	1	0
fuente_3	6.92	173	0	1
fuente_4	7.87	185	1	1
fuente_5	7.65	254	3	0
fuente_6	7.05	198	2	1
fuente_7	6.6	120	1	1
fuente_8	7.2	169	2	1
fuente_9	6.95	296	0	0
fuente_10	7.30	280	1	0
fuente_11	7.36	185	2	1
fuente_12	6.69	170	0	1
fuente_13	7.33	260	4	0
fuente _14	7.89	250	1	0
fuente_15	7.25	125	3	0
fuente_16	7.1	195	2	0
fuente_17	6.6	200	6	1
fuente_18	7	225	1	0
fuente_19	7.26	210	0	0
fuente_20	7.28	230	2	1
fuente_21	6.58	189	4	1
fuente_22	6.64	205	2	1
fuente_23	7.29	180	1	1
fuente_24	7.90	295	0	1
fuente_25	7.62	288	1	0
