parametros	ph	conductividad	turbidez	coliformes
fuente1 	6.95	    239	         1	          1
fuente2 	7.2	    124	         0	          0
fuente3 	7.86	    104	         1	          1
fuente4 	6.66	    215	         0	          0
fuente5 	6.9	    124	         1	          1
fuente6 	7.04	    118	         0	          0
fuente7 	7.38	    164	         1	          1
fuente8 	7.58	    269	         0	          0
fuente9 	6.89	    179	         0	          1
fuente10	7.36	    243	         2	          0
fuente11	7.49	    205	         0	          0
fuente12	6.59	    121	         0	          1
fuente13	7.03	    125	         0	          1
fuente14	7.49	    121	         1	          0
fuente15	6.56	    178	         1	          1
fuente16	6.95	    140	         1	          0
fuente17	7.4	    179	         1	          1
fuente18	7.26	    127	         0	          1
fuente19	7.64	    237	         0	          0
fuente20	7.34	    169	         1	          0
fuente21	7.46	    148	         0	          0
fuente22	7.57	    189	         0	          1
fuente23	7.14	    142	         0	          1
fuente24	7.45	    212	         0	          1
fuente25	6.34	    183	         1	          0
