parametros	ph	conductividad	turbidez	coliformes
fuente1 	7,12    141     	0       	1
fuente2 	6,14	113      	0       	0
fuente3 	6,46	115     	0       	0
fuente4 	7,27	157     	1       	0
fuente5 	7,67	289     	1       	0
fuente6 	6,73	271     	0       	0
fuente7 	6,33	167     	0       	0
fuente8 	7,77	216     	0       	0
fuente9 	7,24	201     	2        	2
fuente10	6,84	147     	0       	0
fuente11	6,21	186      	4           	0
fuente12	7,37	226		0               0               
fuente13	7,65	260      	0        	0
fuente14	6,97	294     	0         	1
fuente15	6,15	123     	5              	0
fuente16	7,18	181     	10          	1
fuente17	7,47	170     	0          	0
fuente18	6,04	272     	0               0
fuente19	6,01	234     	1        	0
fuente20	7,3	123     	2       	1
fuente21	7,26	297     	0       	0
fuente22	6,13	273     	0       	1
fuente23	6,95	233     	0       	0
fuente24	6,85	129      	1       	2
fuente25	7,43	267      	0       	0
