parametros	ph	conductividad	turbidez	coliformes
fuente_1	7,2	190	1	0
fuente_2	7,9	201	0	0
fuente_3	7,89	199	0	1
fuente_4	7,8	184	0	1
fuente_5	7,88	201	2	0
fuente_6	7,22	196	1	1
fuente_7	6,98	122	0	0
fuente_8	7,55	167	2	0
fuente_9	7,18	209	1	1
fuente_10	7,18	287	0	0
fuente_11	7,87	198	0	1
fuente_12	6,99	269	2	1
fuente_13	7,56	263	5	0
fuente _14	7,19	208	0	2
fuente_15	7,88	113	2	0
fuente_16	7,25	198	1	0
fuente_17	6,88	201	4	1
fuente_18	7,77	220	0	1
fuente_19	7,82	199	1	0
fuente_20	7,88	209	1	0
fuente_21	6,68	168	4	1
fuente_22	7,19	216	2	0
fuente_23	7,81	195	0	1
fuente_24	7,98	203	2	2
fuente_25	7,89	201	2	1
