parametros	ph	conductividad	turbidez	coliformes
fuente 1	6,2	110	1	0
fuente 2	7,02	169	0	1
fuente 3	6,98	260	0	1
fuente 4	7,62	234	0	0
fuente 5	7,01	194	1	0
fuente 6	6,6	165	0	0
fuente 7	7,5	284	4	1
fuente 8	7,55	167	3	0
fuente 9	7,94	121	2	1
fuente 10	7,8	103	0	0
fuente 11	7,19	200	0	0
fuente 12	7,54	215	1	0
fuente 13	7,31	116	0	0
fuente 14	7,09	119	1	1
fuente 15	6,87	97	1	0
fuente 16	6,92	109	1	0
fuente 17	7,38	200	8	2
fuente 18	7,47	272	6	0
fuente 19	7,66	242	3	2
fuente 20	7,30	219	0	0
fuente 21	7,31	201	0	1
fuente 22	7,49	121	0	0
fuente 23	6,71	143	1	0
fuente 24	7,52	166	0	1
fuente 25	7,34	173	0	0
