parametros	pH	conductividad	turbidez	coliformes
fuente 1	7,34	108	0	1
fuente 2	6,20	299	0	0
fuente 3	7,23	313	8	0
fuente 4	7,55	218	1	0
fuente 5	5,86	221	0	1
fuente 6	6,95	127	9	0
fuente 7	7,48	178	0	0
fuente 8	7,61	149	4	0
fuente 9	7,00	182	2	0
fuente 10	6,88	173	7	1
fuente 11	8,00	219	0	0
fuente 12	6,63	270	5	0
fuente 13	7,61	158	0	0
fuente 14	7,02	144	1	0
fuente 15	5,98	288	0	2
fuente 16	7,08	257	1	0
fuente 17	7,25	112	5	0
fuente 18	7,33	245	8	0
fuente 19	6,82	193	1	0
fuente 20	7,19	214	0	2
fuente 21	6,31	252	1	0
fuente 22	7,41	248	1	0
fuente 23	6,63	214	2	0
fuente 24	7,22	140	0	1
fuente 25	8,00	145	0	0
