parametros	ph	conductividad	turbidez	coliformes
fuente1  	6.72	    240	         1	          2
fuente2 	7.29	    219	         0	          0
fuente3	        7.94	    196	         0	          1
fuente4 	7.99	    220	         1	          1
fuente5	        7.84	    245	         2	          0
fuente6 	7.27	    211	         1	          0
fuente7 	7.14	    272	         0	          1
fuente8 	7.14	    267	         0	          1
fuente9 	7.67	    212	         1	          0
fuente10	6.38	    247	         1	          1
fuente11	6.79	    159	         0	          1
fuente12	7.07	    204	         1	          0
fuente13	7.16	    175	         1	          0
fuente14	7.31	    244	         0	          0
fuente15	7.02	    281	         0	          2
fuente16	7.07	    212	         1	          1
fuente17	7.72	    188	         1	          0
fuente18	7.87	    274	         2	          1
fuente19	6.95	    265	         1	          1
fuente20	7.35	    244	         0	          1
fuente21	7.29	    226	         2	          0
fuente22	7.08	    178	         1	          0
fuente23	7.30	    225	         0	          1
fuente24	6.90	    245	         1	          1
fuente25	7.24	    230	         0	          0
