parametros	ph	conductividad	turbidez	coliformes
fuente 1	6.13	107	0	1
fuente 2	6.76	141	0	0
fuente 3	7.70	288	2	0
fuente 4	7.29	261	0	0
fuente 5	7.23	206	2	0
fuente 6	6.10	118	1	0
fuente 7	6.14	112	5	1
fuente 8	7.25	229	0	1
fuente 9	6.59	176	1	0
fuente 10	6.89	240	0	1
fuente 11	7.41	195	2	1
fuente 12	6.03	226	6	0
fuente 13	6.72	178	0	0
fuente 14	7.71	139	1	2
fuente 15	7.58	139	3	0
fuente 16	6.76	258	0	1
fuente 17	7.97	175	2	1
fuente 18	7.17	125	0	0
fuente 19	6.58	277	2	0
fuente 20	6.75	192	6	0
fuente 21	6.10	250	2	0
fuente 22	7.33	278	0	1
fuente 23	6.06	119	2	1
fuente 24	7.38	132	2	1
fuente 25	7.77	173	0	1
