parametros	ph	conductividad	turbidez	coliformes
fuente1	6,37	100	1	0
fuente2	7,21	159	0	1
fuente3	6,99	270	0	0
fuente4	7,75	242	0	0
fuente5	7,46	196	0	0
fuente6	6,66	163	0	0
fuente7	7,21	282	5	1
fuente8	7,56	172	3	1
fuente9	7,94	121	2	0
fuente10	7,8	103	0	0
fuente11	7,16	200	0	0
fuente12	7,46	214	0	0
fuente13	7,43	116	0	1
fuente14	6,94	117	1	0
fuente15	6,83	112	1	0
fuente16	7,01	111	1	0
fuente17	7,38	203	10	2
fuente18	7,47	269	4	1
fuente19	7,69	244	3	1
fuente20	7,39	219	0	0
fuente21	7,35	201	0	0
fuente22	7,53	132	0	0
fuente23	6,59	169	1	0
fuente24	7,46	169	0	0
fuente25	7,37	170	0	0
