parametros	ph	conductividad	turbidez	coliformes
fuente 1	7,36	   112	         1	           0
fuente 2	7,76	   100	         0	           1
fuente 3	6,64	   178	         0	           0
fuente 4	7,02	   116	         0	           0
fuente 5	7,94	   117	         0             0
fuente 6	6,5	   118	         0	           1
fuente 7	7,32 	   203	         1	           1
fuente 8	6,57	   269	         1	           1
fuente 9	7,48	   232	         1	           0
fuente 10	6,45	   224	         0	           0
fuente 11	7,79	   201	         0	           0
fuente 12	7,94	   121	         3	           1
fuente 13	6,76	   165	         2	           0
fuente 14	7,54 	   178	         0	           0
fuente 15	6,59	   173	         0	           0
fuente 16	7,35	   173	         1	           1
fuente 17	7,59	   145	         1	           1
fuente 18	7,67	   165	         0	           0
fuente 19	7,57	   102	         1             0
fuente 20	7,45	   105	         0	           0
fuente 21	7,66	   178	         1	           1
fuente 22	7,76	   143	         0	           1
fuente 23	7,43	   179	         0	           1
fuente 24	7,35	   110	         1             0
fuente 25	7,55	   163	         0	           0
